t,v_cmd,v_meas
8.879920,1.556259,1.163467
8.899921,1.559114,1.166209
8.919924,1.561970,1.169532
8.939922,1.564824,1.174033
8.960168,1.567748,1.179409
8.979995,1.570555,1.185056
8.999920,1.573389,1.189958
9.019925,1.576245,1.193600
9.039918,1.579098,1.196693
9.060036,1.581986,1.199130
9.079933,1.584812,1.200595
9.099930,1.587666,1.202128
9.119923,1.590519,1.203372
9.139923,1.593374,1.203523
9.159937,1.596233,1.204246
9.180147,1.599146,1.203792
9.199920,1.601938,1.203116
9.219923,1.604794,1.203561
9.239956,1.607658,1.203659
9.259913,1.610501,1.205713
9.279932,1.613361,1.209199
9.299917,1.616212,1.212253
9.319917,1.619067,1.216251
9.339917,1.621922,1.219665
9.359919,1.624777,1.222639
9.379918,1.627632,1.225737
9.399916,1.630486,1.228447
9.419915,1.633341,1.231508
9.439911,1.636194,1.234421
9.459921,1.639052,1.235676
9.479912,1.641905,1.235793
9.499922,1.644762,1.234207
9.519915,1.647615,1.231445
9.539922,1.650472,1.228371
9.559919,1.653326,1.224856
9.579912,1.656179,1.221862
9.599919,1.659036,1.220128
9.619914,1.661889,1.218956
9.639910,1.664743,1.218090
9.659935,1.667605,1.217053
9.679908,1.670452,1.215359
9.699915,1.673309,1.213710
9.719916,1.676164,1.211989
9.739907,1.679017,1.211618
9.759928,1.681877,1.213151
9.780047,1.684765,1.215371
9.799908,1.687582,1.217828
9.819912,1.690438,1.220309
9.839905,1.693291,1.221318
9.859909,1.696147,1.220964
9.879904,1.699000,1.219444
9.899949,1.701867,1.217029
9.919910,1.704712,1.215606
9.939905,1.707565,1.215046
9.959907,1.710421,1.216176
9.979914,1.713277,1.219178
9.999969,1.716147,1.223644
10.019907,1.718985,1.228513
10.039902,1.721839,1.233319
10.059947,1.724706,1.238496
10.079909,1.727550,1.241619
10.100119,1.730464,1.242405
10.119896,1.733257,1.240800
10.139900,1.736113,1.237292
10.159908,1.738970,1.232301
10.179921,1.741829,1.226413
10.199923,1.744684,1.221847
10.219919,1.747538,1.219313
10.239902,1.750388,1.218091
10.259946,1.753255,1.218673
10.279941,1.756109,1.219912
10.299906,1.758954,1.221335
10.320124,1.761870,1.222059
10.340288,1.764770,1.220838
10.359940,1.767529,1.218228
10.379942,1.770384,1.215141
10.399943,1.773240,1.211058
10.419949,1.776096,1.206935
10.439951,1.778952,1.202647
10.459944,1.781805,1.199219
10.479939,1.784658,1.197999
10.499938,1.787513,1.197560
10.519941,1.790368,1.197304
10.539951,1.793226,1.198013
10.559996,1.796094,1.198338
10.579937,1.798932,1.198222
10.599919,1.801782,1.199123
10.619936,1.804641,1.199455
10.639925,1.807493,1.200424
10.659917,1.810346,1.201178
10.679938,1.813207,1.199548
10.699938,1.816062,1.197550
10.719937,1.818916,1.196245
10.739897,1.821760,1.194851
10.760021,1.824649,1.194231
10.779896,1.827470,1.193729
10.799900,1.830326,1.192876
10.819934,1.833190,1.191656
10.839912,1.836039,1.189329
10.860646,1.839101,1.187093
10.879886,1.841748,1.185144
10.899897,1.844606,1.183107
10.919892,1.847460,1.182221
10.939895,1.850315,1.182982
10.959909,1.853174,1.185746
10.979933,1.856036,1.189937
10.999899,1.858881,1.194941
11.019893,1.861735,1.200421
11.039893,1.864589,1.206793
11.059911,1.867449,1.213004
11.079899,1.870301,1.218122
11.099889,1.873153,1.221656
11.119896,1.876010,1.224348
11.139889,1.878863,1.226733
11.159928,1.881728,1.227199
11.180018,1.884608,1.225163
11.199881,1.887425,1.221906
11.219928,1.890293,1.218506
11.239887,1.893137,1.215835
11.259887,1.895992,1.214056
11.279893,1.898848,1.212649
11.300159,1.901778,1.212038
11.319894,1.904559,1.212031
11.339886,1.907412,1.212264
11.359926,1.910278,1.213144
11.379928,1.913133,1.215162
11.400262,1.916082,1.217540
11.419876,1.918830,1.220303
11.439884,1.921687,1.222853
11.459926,1.924554,1.225887
11.479928,1.927409,1.228546
11.499899,1.930256,1.230820
11.519905,1.933113,1.232662
11.539886,1.935962,1.233146
11.559887,1.938817,1.232892
11.579885,1.941672,1.232411
11.599894,1.944529,1.231543
11.620054,1.947429,1.231036
11.639879,1.950235,1.231274
11.659886,1.953092,1.231634
11.679890,1.955948,1.232232
11.699883,1.958801,1.232476
11.720448,1.961815,1.232676
11.739873,1.964512,1.233399
11.759882,1.967369,1.233828
11.779897,1.970228,1.234303
11.799923,1.973090,1.233484
11.820224,1.976030,1.231674
11.839874,1.978788,1.230094
11.859881,1.981645,1.228890
11.879923,1.984511,1.229418
11.899891,1.987357,1.231278
11.920227,1.990306,1.234489
11.939874,1.993064,1.239105
11.959876,1.995919,1.242767
11.979880,1.998775,1.247024
11.999878,2.001630,1.251210
12.019887,2.004487,1.254677
12.039874,2.007338,1.257238
12.059917,2.010205,1.257887
12.079874,2.013048,1.257787
12.099886,2.015906,1.256700
12.119898,2.018764,1.254697
12.139873,2.021612,1.252548
12.159887,2.024471,1.250106
12.179914,2.027334,1.249293
12.199895,2.030183,1.249456
12.219872,2.033032,1.250792
12.239909,2.035897,1.253027
12.259914,2.038753,1.255282
12.279913,2.041608,1.258347
12.299931,2.044468,1.261383
12.319882,2.047309,1.264961
12.339872,2.050161,1.268123
12.359878,2.053018,1.270917
12.379914,2.055882,1.273884
12.399883,2.058729,1.275997
12.420361,2.061718,1.277958
12.440044,2.064485,1.279825
12.459872,2.067293,1.282020
12.479868,2.070146,1.285212
12.499913,2.073014,1.287748
12.519875,2.075858,1.290213
12.539959,2.078736,1.292400
12.559870,2.081567,1.293239
12.579881,2.084424,1.293437
12.599869,2.087276,1.292665
12.619871,2.090131,1.290701
12.639870,2.092986,1.288818
12.659902,2.095850,1.286070
12.679905,2.098706,1.284276
12.699914,2.101563,1.283239
12.719882,2.104409,1.282265
12.739877,2.107262,1.281740
12.759907,2.110125,1.280228
12.779875,2.112971,1.278464
12.799869,2.115825,1.276984
12.819868,2.118679,1.275113
12.839862,2.121533,1.273433
12.859891,2.124395,1.271585
12.879876,2.127246,1.270528
12.899867,2.130099,1.270500
12.919865,2.132953,1.271534
12.939862,2.135807,1.273153
12.959863,2.138662,1.274735
12.980073,2.141576,1.276296
12.999864,2.144373,1.277123
13.019862,2.147227,1.278026
13.039875,2.150086,1.278961
13.059862,2.152937,1.279718
13.079863,2.155792,1.280516
13.099866,2.158648,1.280505
13.119871,2.161504,1.280266
13.139862,2.164356,1.280081
13.159868,2.167213,1.279579
13.179875,2.170070,1.280426
13.199897,2.172931,1.281103
13.219868,2.175777,1.281808
13.239862,2.178631,1.282230
13.259860,2.181485,1.281435
13.279858,2.184339,1.280535
13.299870,2.187198,1.279414
13.319860,2.190050,1.278089
13.339861,2.192905,1.276940
13.359860,2.195759,1.275945
13.379858,2.198614,1.275194
13.399854,2.201468,1.273603
13.419859,2.204324,1.271364
13.439859,2.207179,1.268540
13.459861,2.210034,1.266188
13.480139,2.212967,1.264757
13.499855,2.215743,1.264916
13.519859,2.218599,1.267770
13.539855,2.221453,1.271425
13.559859,2.224309,1.275306
13.580190,2.227257,1.277736
13.599854,2.230019,1.277467
13.619858,2.232875,1.276026
13.639896,2.235740,1.274217
13.659905,2.238597,1.273638
13.679853,2.235757,1.276033
13.699858,2.232901,1.281937
13.719896,2.230035,1.291904
13.739856,2.227191,1.304485
13.759857,2.224336,1.314454
13.779855,2.221482,1.322021
13.799856,2.218627,1.327085
13.819896,2.215761,1.329505
13.839902,2.212904,1.328777
13.859914,2.210046,1.323614
13.879848,2.207209,1.315243
13.899855,2.204353,1.305308
13.919856,2.201497,1.295674
13.939866,2.204355,1.287476
13.959862,2.207209,1.280082
13.979890,2.210072,1.270743
13.999852,2.212916,1.258074
14.019852,2.215771,1.244065
14.039860,2.218628,1.231026
14.060229,2.215669,1.218083
14.079848,2.212919,1.203783
14.099849,2.210064,1.187634
14.119852,2.207209,1.168564
14.139849,2.204354,1.148676
14.159854,2.201498,1.129150
14.179842,2.198647,1.109532
14.199848,2.195790,1.092392
14.219848,2.192935,1.073681
14.239849,2.190080,1.056171
14.259845,2.187226,1.040104
14.279844,2.184372,1.025982
14.299846,2.181516,1.015134
14.319845,2.178662,1.004050
14.339845,2.175807,0.994032
14.359835,2.172955,0.984986
14.379846,2.170097,0.979304
14.399852,2.167240,0.975210
14.419846,2.164387,0.973714
14.439852,2.161531,0.973248
14.459846,2.158677,0.973130
14.480073,2.155759,0.974292
14.499833,2.152970,0.975278
14.519900,2.150097,0.974777
14.539841,2.147258,0.972470
14.559844,2.144403,0.969060
14.579850,2.141546,0.966970
14.599843,2.138693,0.965992
14.619841,2.135839,0.964995
14.639840,2.132984,0.964675
14.659896,2.130114,0.965028
14.679832,2.127277,0.965630
14.699878,2.124409,0.966789
14.719852,2.121561,0.969437
14.739837,2.118711,0.972509
14.760161,2.115765,0.976186
14.779834,2.113000,0.979560
14.799840,2.110144,0.980859
14.819855,2.107285,0.981312
14.839841,2.104434,0.980705
14.860007,2.101532,0.979616
14.879837,2.098725,0.978409
14.899814,2.095876,0.976304
14.919843,2.093013,0.974135
14.939836,2.090160,0.973030
14.959845,2.087303,0.972905
14.979837,2.084450,0.973791
14.999838,2.081595,0.974365
15.019838,2.078740,0.973293
15.039839,2.075885,0.971954
15.059838,2.078740,0.970804
15.080082,2.081663,0.971119
15.099834,2.084449,0.973487
15.119838,2.087305,0.977293
15.139833,2.090159,0.982569
15.159842,2.093016,0.988336
15.180283,2.095995,0.993888
15.199826,2.098724,1.000576
15.219836,2.101582,1.007846
15.239834,2.104436,1.016303
15.259835,2.107291,1.025024
15.279853,2.110151,1.033391
15.299827,2.112998,1.040732
15.319833,2.115855,1.046041
15.339837,2.118711,1.050254
15.359832,2.121565,1.053974
15.379846,2.124423,1.056874
15.399835,2.127275,1.059218
15.419838,2.130131,1.060844
15.439835,2.132985,1.063497
15.459830,2.135838,1.068228
15.479831,2.138694,1.073349
15.499836,2.141550,1.077846
15.519834,2.144404,1.081577
15.539826,2.147257,1.085479
15.559829,2.150113,1.090038
15.580061,2.153032,1.094325
15.599830,2.155823,1.097904
15.619832,2.158679,1.101220
15.639836,2.161535,1.103361
15.659829,2.164388,1.105252
15.679827,2.167242,1.107182
15.699826,2.170097,1.109512
15.719825,2.172951,1.112988
15.739820,2.175805,1.117400
15.759840,2.178665,1.122261
15.779820,2.181514,1.129715
15.799832,2.184373,1.138365
15.819826,2.187226,1.148592
15.839865,2.190092,1.158832
15.859831,2.192937,1.167579
15.879814,2.195787,1.174154
15.899823,2.198644,1.176967
15.919823,2.201500,1.178429
15.939829,2.204356,1.180569
15.959831,2.207211,1.183448
15.980159,2.210158,1.184874
15.999821,2.212920,1.185706
16.019823,2.215775,1.187398
16.039819,2.218629,1.191461
16.059822,2.221485,1.198341
16.079817,2.224338,1.204943
16.099822,2.227194,1.208911
16.119822,2.230049,1.211437
16.139821,2.232904,1.213633
16.159821,2.235759,1.217045
16.179835,2.238617,1.220853
16.199813,2.241466,1.223351
16.219822,2.244324,1.223916
16.239819,2.247178,1.221504
16.259819,2.250033,1.217117
16.279822,2.252888,1.210578
16.299812,2.255740,1.203163
16.319831,2.258601,1.195288
16.339813,2.261451,1.187944
16.359817,2.264307,1.182272
16.379818,2.266770,1.178294
16.400309,2.268942,1.174869
16.419815,2.270718,1.171786
16.439816,2.271740,1.170801
16.459832,2.272745,1.173287
16.479815,2.273801,1.177962
16.499859,2.275858,1.183782
16.519819,2.277901,1.189814
16.540244,2.279962,1.195053
16.559840,2.281958,1.201730
16.579814,2.284805,1.208922
16.599816,2.287661,1.215700
16.619833,2.290490,1.222823
16.639957,2.293379,1.228033
16.659853,2.296205,1.231522
16.679827,2.299053,1.233744
16.699853,2.301915,1.235316
16.719850,2.304769,1.236924
16.739804,2.307611,1.238803
16.759811,2.310468,1.240966
16.779851,2.313334,1.243128
16.799807,2.316176,1.244052
16.820162,2.318957,1.244046
16.839810,2.321701,1.244636
16.859838,2.324307,1.246988
16.879809,2.326762,1.250361
16.899810,2.329617,1.254279
16.920257,2.332524,1.257924
16.939806,2.335082,1.259381
16.959806,2.337501,1.261012
16.979849,2.340178,1.263819
16.999807,2.342690,1.267165
17.019821,2.345070,1.270453
17.039806,2.347442,1.272616
17.059809,2.349657,1.274700
17.079810,2.351748,1.277494
17.099807,2.354041,1.279702
17.119814,2.356130,1.280090
17.139912,2.358009,1.279464
17.159853,2.359879,1.277826
17.179808,2.361534,1.276528
17.199806,2.362992,1.275084
17.219806,2.364271,1.273759
17.240014,2.364959,1.272200
17.259804,2.365498,1.269845
17.279805,2.365927,1.267743
17.299806,2.366271,1.266034
17.319804,2.366562,1.265399
17.339817,2.366839,1.265831
17.359800,2.367244,1.267313
17.379841,2.367705,1.269920
17.399842,2.368240,1.273299
17.419842,2.368864,1.277202
17.439806,2.369844,1.280848
17.460178,2.370818,1.283128
17.479840,2.371683,1.283603
17.499842,2.372902,1.283787
17.519803,2.374043,1.285166
17.539802,2.375146,1.287433
17.559795,2.376761,1.289774
17.579840,2.378308,1.292549
17.599818,2.379807,1.296133
17.619813,2.381305,1.300885
17.639846,2.383219,1.304840
17.659837,2.385082,1.309392
17.679820,2.386897,1.313813
17.699799,2.389380,1.316782
17.719838,2.391703,1.319127
17.739816,2.393856,1.321062
17.760048,2.396261,1.322035
17.779844,2.398370,1.321343
17.799837,2.400243,1.319466
17.819875,2.401679,1.318867
17.839794,2.403031,1.320921
17.859836,2.404380,1.324917
17.879799,2.405734,1.329565
17.899798,2.407445,1.333029
17.920200,2.409134,1.336630
17.939807,2.410714,1.340426
17.959835,2.412953,1.343345
17.979842,2.415021,1.344837
17.999834,2.416889,1.344775
18.019788,2.418577,1.343079
18.039795,2.420035,1.340608
18.059836,2.421262,1.337371
18.079834,2.422291,1.334724
18.099816,2.422240,1.333744
18.119840,2.422242,1.335320
18.139809,2.422391,1.340109
18.159831,2.423368,1.347571
18.179835,2.424493,1.355408
18.199834,2.425680,1.360891
18.219797,2.427614,1.366444
18.239794,2.429576,1.373210
18.259830,2.431559,1.379883
18.279830,2.433479,1.384051
18.299788,2.436322,1.384170
18.319830,2.439189,1.382712
18.339948,2.441734,1.378713
18.359787,2.443165,1.370820
18.379830,2.444078,1.357722
18.399790,2.444374,1.340179
18.419788,2.441626,1.320927
18.439925,2.438732,1.300762
18.459782,2.435917,1.282157
18.479859,2.433041,1.269602
18.499790,2.430205,1.262633
18.519789,2.427351,1.261801
18.539787,2.424496,1.266945
18.559793,2.421640,1.276620
18.579791,2.418785,1.290610
18.600564,2.415712,1.297905
18.619779,2.414816,1.319407
18.639787,2.414305,1.330238
